ACCOUNT_NUM;FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206
18244;1;1;1;0;0;0
7439;1;1;0;1;1;1
12521;1;1;1;1;1;1
8524;1;0;1;1;1;1
5070;1;1;1;1;1;1
18856;0;0;1;1;1;1
20478;1;1;1;1;1;1
2135;1;1;1;1;1;1
6459;1;1;1;1;1;1
4758;1;1;1;1;1;1
94;1;1;1;1;1;1
22861;1;1;1;1;1;1
2585;0;0;1;0;1;1
19976;0;0;1;0;0;0
9024;0;1;0;0;1;1
23183;1;1;1;1;1;1
16691;1;1;1;1;1;1
21580;1;1;1;1;1;1
12106;1;1;1;1;1;1
7137;1;1;0;0;0;0
4634;1;1;1;1;1;1
13013;0;1;0;1;1;1
11410;1;1;1;1;1;1
6300;1;0;1;1;0;0
850;1;1;1;1;1;1
16772;1;1;1;1;0;0
14087;1;1;1;1;1;1
15458;1;1;1;1;1;1
1490;1;1;1;1;1;1
13935;1;1;1;1;1;1
16829;1;1;0;1;1;1
3654;1;1;1;1;1;1
12300;1;1;1;1;1;1
1791;0;0;0;0;0;1
3395;1;1;1;1;1;1
20192;1;1;1;1;1;1
3794;1;0;0;1;0;0
11215;1;1;1;1;1;1
272;1;1;1;1;1;1
8338;1;1;1;1;1;1
10413;1;1;1;1;1;1
10111;1;0;1;1;1;1
21288;1;1;1;1;1;1
10944;1;1;1;1;1;1
22470;1;1;1;1;1;1
21407;1;1;1;1;1;1
14699;1;1;1;1;1;1
16098;0;0;1;1;1;0
15792;0;0;0;1;0;0
20052;1;1;1;1;1;1
21490;1;1;1;1;1;1
15253;1;1;1;1;1;1
18538;1;1;1;1;1;1
3913;1;1;1;1;1;1
5126;0;0;0;1;1;1
19712;1;1;1;1;1;1
17060;1;1;1;1;1;1
15520;1;1;1;1;1;1
4464;1;1;1;1;1;1
22543;1;1;1;1;1;1
20800;1;1;1;1;1;1
15954;1;1;1;1;1;1
13102;1;1;1;1;1;1
22217;1;1;1;1;1;1
2119;1;1;1;1;1;1
10804;0;0;1;1;0;0
15849;0;0;1;1;1;1
21342;1;1;1;1;1;1
15407;1;1;1;1;1;1
9008;0;0;0;0;1;0
3026;1;1;1;1;1;1
22829;1;1;1;1;1;1
2992;1;1;1;1;1;1
8788;1;1;1;1;1;1
13412;1;0;1;0;0;0
12564;1;1;1;1;1;1
5053;0;0;0;0;1;1
11100;1;1;1;0;1;0
21709;0;0;0;0;1;1
18902;0;1;0;0;1;1
21369;1;1;1;1;0;0
21571;1;1;1;1;1;1
7404;1;1;1;1;1;1
14117;1;1;1;1;1;1
647;1;1;1;1;1;1
18015;0;0;1;1;1;1
20885;0;0;1;1;1;1
14800;0;0;1;1;1;1
22241;1;1;1;1;1;1
19453;1;1;1;1;1;1
6378;1;1;1;1;1;1
108;1;1;1;1;1;1
18643;1;1;1;1;1;1
