oid_usuario;oid_conta;num_conta;nom_transacao;NUM_ANO_MES;qtd_transacao
7059916;6540029;22233;Convênios;202202;8
2930074;2827890;12050;Pagamentos;202203;4
7134690;6603207;23108;Pagamentos;202204;2
7059916;6540029;22233;Pagamentos;202203;12
2481603;2413503;6009;Pagamentos;202205;21
2481603;2413503;6009;Conta Corrente;202203;9
2930074;2827890;12050;Convênios;202205;6
6521014;6081070;20273;Pagamentos;202202;60
6586507;6137538;20648;Crédito;202206;2
2930074;2827890;12050;Pagamentos;202204;6
2930074;2827890;12050;Conta Corrente;202203;2
2930074;2827890;12050;Conta Corrente;202205;2
1492012;1503591;698;Pagamentos;202203;2
2481603;2413503;6009;Convênios;202202;3
4144705;3957560;14192;PIX;202201;6
1506091;1516733;2046;PIX;202201;8
1501363;1512350;1708;PIX;202203;12
7160283;6625106;23264;PIX;202201;18
6976339;6469354;22055;PIX;202206;1
2481603;2413503;6009;PIX;202201;33
3303680;3163214;12726;PIX;202205;2
6976339;6469354;22055;PIX;202202;4
1492012;1503591;698;PIX;202204;8
7235974;6689105;23647;PIX;202204;2
6287815;5879512;19607;PIX;202203;8
1491332;1502970;1791;PIX;202206;2
1502071;1512992;2267;PIX;202203;4
6287815;5879512;19607;PIX;202202;24
2000138;1966930;4430;PIX;202205;6
1470346;1483011;1023;PIX;202205;16
3303680;3163214;12726;PIX;202201;2
7134690;6603207;23108;PIX;202205;44
5696077;5363998;17906;PIX;202202;22
5696077;5363998;17906;PIX;202204;24
6873516;6382497;21709;PIX;202205;2
7160283;6625106;23264;PIX;202205;6
6976339;6469354;22055;PIX;202204;7
2481603;2413503;6009;PIX;202203;45
2481603;2413503;6009;PIX;202202;33
2481603;2413503;6009;PIX;202206;72
6521014;6081070;20273;PIX;202201;36
3067516;2951479;11606;PIX;202202;8
4144705;3957560;14192;PIX;202206;4
2000138;1966930;4430;PIX;202203;2
2000138;1966930;4430;PIX;202206;2
1470346;1483011;1023;PIX;202204;16
3303680;3163214;12726;PIX;202203;2
2930074;2827890;12050;Pagamentos;202205;6
7059916;6540029;22233;Conta Corrente;202205;24
6976339;6469354;22055;Convênios;202203;1
1501363;1512350;1708;Pagamentos;202202;4
6287815;5879512;19607;Conta Corrente;202202;4
6191500;5796494;19259;Pagamentos;202205;4
2930074;2827890;12050;Conta Corrente;202201;4
7160283;6625106;23264;Conta Corrente;202201;36
2481603;2413503;6009;Pagamentos;202201;12
6521014;6081070;20273;Investimentos;202203;24
2481603;2413503;6009;Pagamentos;202202;3
1502071;1512992;2267;Convênios;202201;2
2930074;2827890;12050;Conta Corrente;202206;4
7059916;6540029;22233;Conta Corrente;202201;24
2481603;2413503;6009;Conta Corrente;202201;12
3039919;2927036;12270;Pagamentos;202206;6
6521014;6081070;20273;Convênios;202203;24
7160283;6625106;23264;Conta Corrente;202205;18
6521014;6081070;20273;Pagamentos;202201;24
7059916;6540029;22233;Pagamentos;202201;8
7160283;6625106;23264;Conta Corrente;202202;18
3039919;2927036;12270;Convênios;202205;8
1501363;1512350;1708;Pagamentos;202201;4
2930074;2827890;12050;Convênios;202202;2
7134690;6603207;23108;Pagamentos;202205;2
2930074;2827890;12050;Conta Corrente;202202;4
6586507;6137538;20648;PIX;202206;76
6287815;5879512;19607;PIX;202205;8
3067516;2951479;11606;PIX;202206;4
3067516;2951479;11606;PIX;202201;16
1502071;1512992;2267;PIX;202204;2
3039919;2927036;12270;PIX;202202;52
3039919;2927036;12270;PIX;202203;82
6287815;5879512;19607;PIX;202206;8
6191500;5796494;19259;PIX;202205;44
5696077;5363998;17906;PIX;202205;30
1502071;1512992;2267;PIX;202205;6
1502071;1512992;2267;PIX;202206;4
3303680;3163214;12726;PIX;202206;2
2930074;2827890;12050;PIX;202206;56
6521014;6081070;20273;PIX;202202;84
6521014;6081070;20273;PIX;202206;36
6521014;6081070;20273;PIX;202204;120
6916328;6418474;22020;PIX;202206;2
1506091;1516733;2046;PIX;202203;24
6976339;6469354;22055;PIX;202203;7
2481603;2413503;6009;PIX;202205;69
6916328;6418474;22020;PIX;202204;2
6976339;6469354;22055;PIX;202205;5
6873516;6382497;21709;PIX;202206;4
2542606;2471406;11010;PIX;202202;2
3067516;2951479;11606;PIX;202204;2
7059916;6540029;22233;PIX;202203;40
4144705;3957560;14192;PIX;202204;4
